Category 7,"In 1 Timothy, what does Paul say leads to questions, not godly edification?",Fables and endless genealogies,Ancient texts and scrolls,The works of prophets,The commandments of Moses,1 Timothy,1 Timothy 1:4
Category 7,"In 1 Timothy, what two qualities are suggested as the foundation of the commandments?",Charity and faith,Faith and mercy,Charity and mercy,Peace and faith,1 Timothy,1 Timothy 1:5
Category 7,"In 1 Timothy, from what does Paul say charity – love – should come?",A pure heart ,Following the law,Fear of God,Fear of Hell,1 Timothy,1 Timothy 1:5
Category 7,"In 1 Timothy, what does Paul say those who have swerved from the true doctrine have turned aside to?",Vain jangling,The laws of man,Confusion and noise,Doctrine of Aaron,1 Timothy,1 Timothy 1:6
Category 7,"In 1 Timothy, who does Paul condemn for not understanding what they say or affirm?",Some teachers of the Law,Some apostles,Some political leaders,Some Gentiles,1 Timothy,1 Timothy 1:7
Category 7,"In 1 Timothy, what specific condemnation is made of some teachers of the law?",They lack understanding,They lack knowledge,They lack faith,They lack love,1 Timothy,1 Timothy 1:7
Category 7,When does Paul say the law is good?,When used lawfully,When used for personal gain,When used by elders,When used by governments,1 Timothy,1 Timothy 1:8
Category 7," In 1 Timothy, who does Paul say the law is made for?",The lawless,The saints,The truth speakers,Those who fear God,1 Timothy,1 Timothy 1:9
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",The disobedient,The obedient,The righteous,The Christian,1 Timothy,1 Timothy 1:9
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",The ungodly,The Godly,The faithful,The good,1 Timothy,1 Timothy 1:9
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",Sinners,The good,The kindhearted,The faithful,1 Timothy,1 Timothy 1:9
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",The unholy,The holy,The good,The faithful,1 Timothy,1 Timothy 1:9
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",The profane,The hallowed,The blessed,The holy,1 Timothy,1 Timothy 1:9
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",Murderers,The righteous,The good,The truth seekers,1 Timothy,1 Timothy 1:9
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",Whoremongers,The truthful,The honest,The fair,1 Timothy,1 Timothy 1:10
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",Liars,The good,The decent,The honest,1 Timothy,1 Timothy 1:10
Category 7,"In 1 Timothy, for whom does Paul say the law is made?",The men stealers,The faithful,The God-fearing,The good,1 Timothy,1 Timothy 1:10
Category 7,"In 1 Timothy, what does Paul say was committed to his trust?",The glorious gospel,The power to forgive,The power to heal,The power over hell,1 Timothy,1 Timothy 1:11
Category 7,"In 1 Timothy, who did Paul thank for putting him in the ministry?",Jesus,Peter,Stephen,Ananias,1 Timothy,1 Timothy 1:12
Category 7,"In 1 Timothy, what did Paul say Jesus considered him when he was put in the ministry?",Faithful,Fearless,Wise,Blameless,1 Timothy,1 Timothy 1:12
Category 7,"In 1 Timothy, which of these words does Paul use to describe himself before his conversion?",Blasphemer,Drunkard,Murderer,Whoremonger,1 Timothy,1 Timothy 1:13
Category 7,"In 1 Timothy, which of these words does Paul use to describe himself before his conversion?",Persecutor,Heathen,Gentile,Liar,1 Timothy,1 Timothy 1:13
Category 7,"In 1 Timothy, why did Paul say he obtained mercy for the actions he took before his conversion?",He did them ignorantly in unbelief,He was always good at heart,He kept the laws of Moses,He believed in circumcision,1 Timothy,1 Timothy 1:13
Category 7, Where is this text found: “The grace of our Lord was exceeding abundant with faith and love which is in Christ Jesus”?,1 Timothy ,1 Corinthians,2 Timothy,2 Corinthians,1 Timothy,1 Timothy 1:14
Category 7,"According to the Book of Timothy, why did Jesus come into the world?",To save sinners,To save a select few ,To confront the devil,To save the righteous,1 Timothy,1 Timothy 1:15
Category 7,Which New Testament writer declared himself the “chief” of sinners?,Paul,Peter,John,James,1 Timothy,1 Timothy 1:15
Category 7,"In 1 Timothy, what did Paul say he was the chief of?",Sinners,Apostles,Converted gentiles,Pharisees,1 Timothy,1 Timothy 1:15
Category 7,"In 1 Timothy, Paul says he was shown mercy that Jesus could demonstrate this quality?",His longsuffering,His power,His strength,His divinity,1 Timothy,1 Timothy 1:16
Category 7,Which of these is a way Paul describes God in 1 Timothy?,King Eternal,Omnipotent,All-knowing,Ever-present,1 Timothy,1 Timothy 1:17
Category 7,"In 1 Timothy, which of these words does Paul use to describe God?",Immortal,Omnipotent,All-mighty,Ever-present,1 Timothy,1 Timothy 1:17
Category 7,"In 1 Timothy, which of these words does Paul use to describe God?",Invisible,Omnipotent,All-knowing,All-powerful,1 Timothy,1 Timothy 1:17
Category 7,"In 1 Timothy, which of these words does Paul use to describe God?",Wise,Omnipotent,All-powerful,Ever-present,1 Timothy,1 Timothy 1:17
Category 7,Which of these men did the apostle Paul tell to “war a good warfare”?,Timothy,Barnabas,Silas,Alexander,1 Timothy,1 Timothy 1:18
Category 7,"In 1 Timothy, who are the two blasphemers that Paul mentions to Timothy by name?","Hymenaeus, Alexander","Erastus, Tychicus","Onesiphorus, Trophimus","Aristarcus, Lucas",1 Timothy,1 Timothy 1:20
Category 7,"In 1 Timothy, what does Paul say he did to two blasphemers to teach them not to ",blaspheme?,Delivered them to Satan,Expelled them from church,Prayed for them ceaselessly ,1 Timothy,1 Timothy 1:20
Category 7,"In 1 Timothy, for whom does Paul specifically say supplications, prayers and intercessions should be made?",All men,The elders,The poor,The rich,1 Timothy,1 Timothy 2:1
Category 7,To whom did Paul say we should pray for “that we may lead a quiet and peaceable life in all godliness and honesty”?,Kings ,Priests,Elders,Gentiles,1 Timothy,1 Timothy 2:2
Category 7,Who did Paul say we should pray for “that we may lead a quiet and peaceable life in all godliness and honesty”?,Those in authority,Heathens,Husbands,Slaves,1 Timothy,1 Timothy 2:2
Category 7,"In 1 Timothy, what does Paul say God wants for all men?",To be saved,To be prosperous,To be married,To be healthy,1 Timothy,1 Timothy 2:2
Category 7,"In 1 Timothy, what does Paul say God wants for all men?",To know the truth,To have power,To be free of infirmity,To be married,1 Timothy,1 Timothy 2:2
Category 7,How many gods does Paul say there are?,1,2,3,4,1 Timothy,1 Timothy 2:5
Category 7,"How many mediators are there between God and man, according to Paul?",1,2,3,4,1 Timothy,1 Timothy 2:5
Category 7,"Who among the following is the only mediator between God and man, according to Paul?",Jesus,Moses,Elijah,Paul,1 Timothy,1 Timothy 2:5
Category 7,"In 1 Timothy, who does Paul say gave himself as ransom for all?",Jesus,Isaac,Joseph,Moses,1 Timothy,1 Timothy 2:6
Category 7,"Who said these words: “I speak the truth in Christ, and lie not”?",Paul,Peter,James,Jude ,1 Timothy,1 Timothy 2:7
Category 7,"Which of the apostles declared himself a preacher, apostle and a teacher of the gentiles?",Paul,Peter,John,James,1 Timothy,1 Timothy 2:7
Category 7,"Which of the apostles called for women to dress “in modest apparel, with shamefacedness and sobriety”?",Paul,Peter,Judas,John,1 Timothy,1 Timothy 2:9
Category 7,"In 1 Timothy, how does Paul specifically say women should dress?",Modestly,Attractively,Immodestly ,Suggestively,1 Timothy,1 Timothy 2:9
Category 7,Finish this statement by Paul in 1 Timothy: “Let the woman learn in silence with all…”,Subjection,Humility,Gratitude,Deference,1 Timothy,1 Timothy 2:11
Category 7,"In 1 Timothy, who does Paul say should not be allowed to teach?",Women,Young men,The mentally ill,The infirm,1 Timothy,1 Timothy 2:12
Category 7,"In 1 Timothy, who does Paul say is opposed to women teaching the gospel?",Paul,God,Jesus,The elders,1 Timothy,1 Timothy 2:12
Category 7,"In 1 Timothy, who does Paul say should not “usurp authority over the man, but to be in silence”?",Women,The elderly ,Children,Stutterers,1 Timothy,1 Timothy 2:12
Category 7,Which of the following is a reason given by Paul why women should be subjected to their husbands?,Man was made first,Women are weaker,Women are not good leaders,Women are too emotional,1 Timothy,1 Timothy 2:13
Category 7,Which of the following is a reason given by Paul why women should be subjected to their husbands?,"Eve, not Adam, was deceived",Eve was made from Adam’s ribs,Eve was made inferior to Adam,Eve was a bad example to Adam,1 Timothy,1 Timothy 2:14
Category 7,"In 1 Timothy, what does Paul say will save women from the original sin of Eve?",Childbearing,Their husbands,The church,The Laws of Moses,1 Timothy,1 Timothy 2:15
Category 7,"In 1 Timothy, what office does Paul call “a good work”?",Bishop,Public official,Tax collector,Chief priest,1 Timothy,1 Timothy 3:1
Category 7,"According to Paul in 1 Timothy, which of the following is required to be a bishop?",Husband of one wife,Husband of many wives,Landowner,A Levite,1 Timothy,1 Timothy 3:2
Category 7,"According to Paul in 1 Timothy, which of the following is required to be a bishop?",Good teacher,Hard taskmaster,Good overseer,Good money manager,1 Timothy,1 Timothy 3:2
Category 7,"According to Paul in 1 Timothy, which of the following is required to be a bishop?",Sober,Winebibber,Outspoken,Strong-willed,1 Timothy,1 Timothy 3:2
Category 7,"The ability to govern one’s house and have children in subjection is a requirement for what office, according to Paul in 1 Timothy?",Bishop,Public official,Church treasurer,Chief priest,1 Timothy,1 Timothy 3:4
Category 7,What does Paul say a man can’t govern if he can’t control his own home?,The church,The government ,The treasury,His life,1 Timothy,1 Timothy 3:5
Category 7,Why does Paul suggest a novice should not be a bishop?,Pride may overcome him,He may lack knowledge ,Greed may overcome him,He may lack patience,1 Timothy,1 Timothy 3:6
Category 7,"In 1 Timothy, who specifically does Paul say should not be double-tongued?",Deacons,Prophets,Elders,Ushers,1 Timothy,1 Timothy 3:8
Category 7,"In 1 Timothy, who is Paul describing when he says their wives must be “grave, not slanderers, sober, faithful in all things”?",Deacons,Elders,Ushers,Teachers,1 Timothy,1 Timothy 3:11
Category 7,How many wives should a deacon have?,1,2,3,4,1 Timothy,1 Timothy 3:12
Category 7,"In 1 Timothy, what does Paul describe as the “pillar and ground of the truth”?",The church,The law,The deacons ,The elders,1 Timothy,1 Timothy 3:15
Category 7,"Which of the following statements about God is part of what Paul describes as the greatness of the mystery of godliness, according to 1 Timothy?",He appeared in the flesh,He appeared in the spirit,He condemned the Pharisees,He ignored the Laws of Moses,1 Timothy,1 Timothy 3:16
Category 7,"Which of the following statements about Jesus is part of what Paul describes as the greatness of the mystery of godliness, according to 1 Timothy?",He was justified in the spirit,He is all-powerful,He is all-knowing,He created the heavens,1 Timothy,1 Timothy 3:16
Category 7,"Which of the following statements about Jesus is part of what Paul describes as the greatness of the mystery of godliness, according to 1 Timothy?",He was seen by angels,He was hidden from angels,He appeared before kings,He was greater than Herod,1 Timothy,1 Timothy 3:16
Category 7,"Which of the following statements about Jesus is part of what Paul describes as the greatness of the mystery of godliness, according to 1 Timothy?",He was preached to Gentiles ,He was hidden from angels,His gospel was for Jews only,He didn’t pay tribute to Caesar,1 Timothy,1 Timothy 3:16
Category 7,"Which of the following statements about Jesus is part of what Paul describes as the greatness of the mystery of godliness, according to 1 Timothy?",He was believed in by the world,He was manifest in the spirit,He was hidden from angels,His gospel was for Jews only,1 Timothy,1 Timothy 3:16
Category 7,"Which of the following statements about Jesus is part of what Paul describes as the greatness of the mystery of godliness, according to 1 Timothy?",He was taken up in glory,He was manifest in the spirit,He was hidden from angels,He created the heavens,1 Timothy,1 Timothy 3:16
Category 7,"In 1 Timothy, what does Paul specifically say will cause some to depart from the faith in the latter days?",Seducing spirits,Prosperity,Strong drink,The Laws of Moses,1 Timothy,1 Timothy 4:1
Category 7,"In 1 Timothy, what does Paul specifically say will cause some to depart from the faith in the latter days?",Doctrines of devils,The Roman authorities,The doctrine of the apostles,Strong drink,1 Timothy,1 Timothy 4:1
Category 7,"In 1 Timothy, who does Paul charge with “speaking lies in hypocrisy”?",Those who leave the faith,Jewish leaders,New converts,Church elders,1 Timothy,1 Timothy 4:2
Category 7,"In 1 Timothy, who does Paul charge with “having their conscience seared with a hot iron”?",Those who leave the faith,Many deacons and bishops,Priests and scribes,New converts,1 Timothy,1 Timothy 4:2
Category 7,"In 1 Timothy, what false doctrine does Paul say is taught by some who follow seducing spirits and doctrines of devils.?",Abstinence from marriage,Multiple marriages is best,Divorce is good,Covetousness is admirable,1 Timothy,1 Timothy 4:3
Category 7,"In 1 Timothy, what does Paul say God “created to be received with thanksgiving of them which believe and know the truth”?",Meats,The law,Wine,The church,1 Timothy,1 Timothy 4:3
Category 7,"In 1 Timothy, which creatures of God does Paul say are good for food?",All are good to eat,Only animals that chew their cud,Only fish with scales,Only warm blooded animals,1 Timothy,1 Timothy 4:4
Category 7,"In Timothy, how does Paul say food is sanctified?",By prayer,By burnt offering ,By washing,By sharing,1 Timothy,1 Timothy 4:5
Category 7,"In Timothy, how does Paul say food is sanctified?",By the word of God,By thorough cooking,By washing and cleaning,By eating with clean hands,1 Timothy,1 Timothy 4:5
Category 7,Finish this statement by Paul in 1 Timothy: “For bodily exercise profiteth little: but godliness is profitable unto…”,All things,Spiritual matters,Matters of faith,The law,1 Timothy,1 Timothy 4:8
Category 7,"In 1 Timothy, Paul said Christians labor and suffer reproach because they trust in whom?",The living God,The true gospel,The living church,The true apostles,1 Timothy,1 Timothy 4:10
Category 7,Whom does Paul tell: “let no man despise thy youth”?,Timothy,John ,Titus,Barnabas,1 Timothy,1 Timothy 4:12
Category 7,Which of these things did Paul encourage Timothy to do until he returned?,Read the scripture,Collect offerings,Build churches,Get married,1 Timothy,1 Timothy 4:13
Category 7,Which of these things did Paul encourage Timothy to do until he returned?,Preach the gospel,Avoid Gentiles,Collect Tithes,Avoid Pharisees,1 Timothy,1 Timothy 4:13
Category 7,Which of these things did Paul encourage Timothy to do until he returned?,Teach the doctrine,Identify evildoers,Sacrifice offerings,Build churches,1 Timothy,1 Timothy 4:13
Category 7,How did Paul say Timothy got the gift he received “with the laying on of the hands of the presbytery”?,By prophecy,By healing,By faith,By understanding ,1 Timothy,1 Timothy 4:14
Category 7,How does Paul tell Timothy he can save himself and others?,By taking heed of his life and doctrine,By raising money for the church,By building new churches,By wearing fine robes and garments,1 Timothy,1 Timothy 4:16
Category 7,Who does Paul tell Timothy not to rebuke?,An elder,Younger men,Female teachers,Gentiles,1 Timothy,1 Timothy 5:1
Category 7,Who does Paul tell Timothy to treat as brothers?,Younger men,Elders,Female pastors,Heathens,1 Timothy,1 Timothy 5:1
Category 7,How does Paul tell Timothy to treat elder men in the church?,As fathers,As brothers,As god-chosen,As saints,1 Timothy,1 Timothy 5:1
Category 7,Who does Paul tell Timothy to treat as sisters?,Younger women,Elder women,Female pastors,Heathens,1 Timothy,1 Timothy 5:2
Category 7,How does Paul tell Timothy to treat elder women in the church?,As mothers,As sisters,As god-chosen,As saints,1 Timothy,1 Timothy 5:2
Category 7,"In 1 Timothy, who does Paul tell Timothy to honor?",Widows,Spinsters,Governors,The high priest,1 Timothy,1 Timothy 5:3
Category 7,Who does Paul say should be the first to offer assistance to widows?,Her children or nephews,The church,The government,The elders,1 Timothy,1 Timothy 5:4
Category 7,Who does Paul say is worst than someone who doesn’t care for a destitute relative?,An infidel,A pretender,A mercenary,A slave master,1 Timothy,1 Timothy 5:8
Category 7,How old does Paul say a woman should be to receive help as a widow?,60,50,40,45,1 Timothy,1 Timothy 5:9
Category 7,"Which of these is a condition Paul makes for a woman to receive help as a widow, according to 1 Timothy?",She had one husband,She had multiple husbands,She must be ill,She must have a handicap,1 Timothy,1 Timothy 5:9
Category 7,"In 1 Timothy, which of these is a good deed, specifically listed by Paul, as qualifying a widow for assistance from the church?",Raised children,Taught doctrine,Fed the elders,Gave to the church,1 Timothy,1 Timothy 5:10
Category 7,"In 1 Timothy, which of these is a good deed, specifically listed by Paul, as qualifying a widow for assistance from the church?",Housed strangers,Taught doctrine,Fed the elders,Gave to the church,1 Timothy,1 Timothy 5:10
Category 7,"In 1 Timothy, which of these is a good deed, specifically listed by Paul, that should help qualify a widow for assistance from the church?",Washed the feet of saints,Publicly read scriptures,Taught doctrine,Gave to the church,1 Timothy,1 Timothy 5:10
Category 7, Why did Paul tell Timothy not to put younger women on the list of indigent widows?,They will remarry,They will misuse the money,They can find work,It will make them lazy,1 Timothy,1 Timothy 5:11
Category 7,"In 1 Timothy, what advice does Paul give to young widows?",Remarry,Get help from your family,Go out and work,Pray and fast often,1 Timothy,1 Timothy 5:14
Category 7,"In 1 Timothy, what does Paul say is a danger for young widows?",They learn to be idle,They become depressed,They become sanctimonious,They become bitter,1 Timothy,1 Timothy 5:14
Category 7,"In 1 Timothy, what does Paul say is a danger for young widows?",They learn to be busybodies,They become hardhearted ,They become coldhearted,They become depressed,1 Timothy,1 Timothy 5:14
Category 7,"In 1 Timothy, what does Paul say is a danger for young widows?",They learn to be gossips,They become sanctimonious,They become coldhearted,They ignore their friends,1 Timothy,1 Timothy 5:14
Category 7,"In 1 Timothy, of whom was Paul speaking when he said: “some are already turned aside after Satan”?",Young widows,Bishops,Deacons,Elders,1 Timothy,1 Timothy 5:15
Category 7,How does Paul say an elder should be treated?,With double honor,Like any other church member,Like our brother,However you please,1 Timothy,1 Timothy 5:17
Category 7,"In which book is this scripture found: “For the scripture saith, thou shalt not muzzle the ox that treadeth out the corn. And, the labourer is worthy of his reward”?",1 Timothy ,Matthew,Hebrews,Luke ,1 Timothy,1 Timothy 5:18 
Category 7,"Where is this verse: “For the scripture saith, thou shalt not muzzle the ox that treadeth out the corn. And, The labourer is worthy of his reward”?",1 Timothy,Matthew ,Luke,Ephesians,1 Timothy,1 Timothy 5:18 
Category 7,"At least how many witnesses are required before you hear an accusation against an elder, according to Paul in 1 Timothy?",2,5,1,4,1 Timothy,1 Timothy 5:19 
Category 7," In 1 Timothy, how does Paul say an elder who sins should be rebuked?",Before the entire church,In private,Before his family,Before the elders only,1 Timothy,1 Timothy 5:20
Category 7,"Why should elders who sin be rebuked before the whole church, according to Paul?",So that others may fear,To bring sin in the open ,To embarrass them,To diminish their influence,1 Timothy,1 Timothy 5:20
Category 7,"In 1 Timothy, when does Paul say it’s OK to show partiality?",At no time,When dealing with the rich,When dealing with the poor,When dealing with elders,1 Timothy,1 Timothy 5:21
Category 7,"In 1 Timothy, which of these did Paul tell Timothy not to do?",Share in the sin of others,Preach the doctrine,Help those in need,Keep himself pure,1 Timothy,1 Timothy 5:22
Category 7,"Who is the author of this verse: “Drink no longer water, but use a little wine for thy stomach's sake and thine often infirmities”?",Paul,Jesus,Peter,James,1 Timothy,1 Timothy 5:23
Category 7,"To whom was this advice given: “Drink no longer water, but use a little wine for thy stomach's sake and thine often infirmities”?",Timothy,Peter,Paul,Silas,1 Timothy,1 Timothy 5:23
Category 7,"Where is this verse found: “Drink no longer water, but use a little wine for thy stomach's sake and thine often infirmities”?",1 Timothy,Hebrews,Jude,Ephesians,1 Timothy,1 Timothy 5:23
Category 7,"In 1 Timothy, which masters does Paul say Christian servants should honor?",All,Christian masters,Good masters,None,1 Timothy,1 Timothy 6:1
Category 7,Finish this statement by Paul in 1 Timothy: “Perverse disputings of men of corrupt…”,Minds,Hearts,Souls,Thoughts,1 Timothy,1 Timothy 6:5
Category 7,Where is this verse found: “But godliness with contentment is great gain”?,1 Timothy,Ephesians,Galatians,John,1 Timothy,1 Timothy 6:6
Category 7,"Who said these words: “For we brought nothing into this world, and it is certain we can carry nothing out”?",Paul,Jesus,Job,Abraham,1 Timothy,1 Timothy 6:7
Category 7,"In 1 Timothy, what did Paul say to be content with?",Food and clothes,Full storehouses,A plentiful harvest,Large flocks of cattle,1 Timothy,1 Timothy 6:8
Category 7,"In 1 Timothy, who specifically does Paul say “fall into temptation and a snare, and into many foolish and hurtful lusts”?",Those who seek riches,Whoremongers,Those who seek power,The elders in the church,1 Timothy,1 Timothy 6:9
Category 7,"In 1 Timothy, what does Paul call the root of all evil?",The love of money,Money,The lack of money,The concern about money,1 Timothy,1 Timothy 6:10
Category 7,"What have those who covet riches pierce themselves through with, according to Paul in 1 Timothy?",Many sorrows,Sharp arrows,Unending problems,Separation from God,1 Timothy,1 Timothy 6:10
Category 7,Before whom did Paul tell Timothy that Jesus “witnessed a good confession”?,Pontius Pilate,The multitudes,The Jewish leaders,The apostles,1 Timothy,1 Timothy 6:13
Category 7,What does Paul tell Timothy to encourage the rich to do?,Not trust in riches,Not share their wealth,Ignore the poor,Trust in their prosperity,1 Timothy,1 Timothy 6:13
Category 7,"In Titus 1, what does Paul say acknowledging the “Truth” leads to?",Godliness,Conviction,Self-importance,Haughtiness ,Titus,Titus 1:1
Category 7,What is the first word of the Book of Titus?,Paul,Titus,Luke,Peter,Titus,Titus 1:1
Category 7,Who wrote the Book of Titus?,Paul ,Timothy,Titus,John,Titus,Titus 1:1
Category 7,"In Titus 1, what does Paul call himself?",A servant of God,A man of God,A born again man,A bearer of good news,Titus,Titus 1:1
Category 7,"In Titus 1, what does Paul call himself?",An apostle of Jesus,A teacher of Truth,A man under the law,A scribe and teacher,Titus,Titus 1:1
Category 7,"In Titus 1, Paul describes himself as an apostle to further the faith of whom?",God's elect ,The Law of Moses,The linage of Aaron,The linage of David,Titus,Titus 1:1
Category 7,"In Titus, what does Paul say God can never do?",Lie ,Punish sinners,Flood the earth again,Judge good people,Titus,Titus 1:2
Category 7,"In Titus, what does Paul say God promised before the world began?",Eternal life,The New Jerusalem,The Flood,The Pentecost,Titus,Titus 1:2
Category 7,"In Titus, how does Paul say God manifests his word?",Through preaching,Through dreams,Through visions,Through prophets,Titus,Titus 1:3
Category 7,How does Paul refer to Titus?,His own son ,His faithful companion,A builder of churches,A fellow enemy of Alexander,Titus,Titus 1:4
Category 7,Where did Paul leave Titus?,Crete ,Ephesus,Galatia,Jerusalem,Titus,Titus 1:5
Category 7,What specifically did Paul appoint Titus to do in Crete?,Ordain elders,Build a church,Convert the gentiles,Preach the gospel,Titus,Titus 1:5
Category 7,What specifically did Paul appoint Titus to do in Crete?,Set things in order,Raise money,Perform miracle,Build churches,Titus,Titus 1:5
Category 7,"In Titus, which of the following was a specific requirement for a church leader, according to Paul?",Someone blameless,A man with few flaws,A man of wealth,A man of power,Titus,Titus 1:6
Category 7,"In Titus, which of the following was a specific requirement for a church leader, according to Paul?",The husband of one wife,A man with decent wives,A husband with Christian wives,A man of much wealth,Titus,Titus 1:6
Category 7,"In Titus, which of the following was a specific requirement for a church leader, according to Paul?",A man with faithful children,A man with unruly children,A man with no children,A man with many children,Titus,Titus 1:6
Category 7,"In Titus, which of the following was a specific requirement for a bishop, according to Paul?",A man not given to filthy lucre ,An unmarried man,A man with deep theological training,A man who enjoys power,Titus,Titus 1:7
Category 7,"In Titus, which of the following was a specific requirement for a bishop, according to Paul?",Not self-willed,Self-willed man,Overbearing ,Strong willed,Titus,Titus 1:7
Category 7,"In Titus, which of the following was a specific requirement for a bishop, according to Paul?",A man slow to anger,A quick temper man,A no nonsense man,An overbearing man,Titus,Titus 1:7
Category 7,"In Titus, which of the following was a specific requirement for a bishop, according to Paul?",A man not given to wine,A man who can hold his wine,A man who gets drunk infrequently,A man who functions while drunk,Titus,Titus 1:7
Category 7,"In Titus, which of the following was a specific requirement for a bishop, according to Paul?",A non-violent man,A man of violence,A passionate man,A fighter and striker,Titus,Titus 1:7
Category 7,"In Titus, what did Paul say a bishop must be?",Blameless as the steward of God ,Honest and trustworthy,Pure in all his ways,Worthy of his calling,Titus,Titus 1:7
Category 7,Which of these qualities did Paul say a bishop in the church should display?,Hospitality ,Worldly knowledge,Rabbinical skills,Knowledge of Mosaic Law,Titus,Titus 1:8
Category 7,Which of these qualities did Paul say a bishop in the church should display?,Sobriety ,Inquisitiveness,Narrow mindedness,Verbosity,Titus,Titus 1:8
Category 7,Which of these things did Paul say a bishop in the church should do?,Keep good company,Raise money,Pay tithes,Have multiple wives,Titus,Titus 1:8
Category 7,Which of these things did Paul say a bishop in the church should do?,Be just,Be aggressive,Be controlling,Be brilliant,Titus,Titus 1:8
Category 7,Which of these things did Paul say a bishop in the church should do?,Be holy,Be sanctimonious,Be pious,Be thrifty,Titus,Titus 1:8
Category 7,Which of these things did Paul say a bishop in the church should do?,Be temperate,Be extravagant,Be conspicuous,Be free spending,Titus,Titus 1:8
Category 7,"In Titus 1, what did Paul say to hold fast to?",The faithful word,Preaching the gospel,All he had seen,God's promises,Titus,Titus 1:9
Category 7,What did Paul say could “exhort and convince the gainsayers”?,Sound doctrine,Fear of hellfire,Rabbinical law,Hope of heaven,Titus,Titus 1:9
Category 7,"In Titus, which of these problem groups did Paul identify by name?",The deceivers,The thieves,The disorderly,The covetous,Titus,Titus 1:10
Category 7,"In Titus, which of these problem groups did Paul identify by name?",The unruly,The jealous,The argumentative,The untrustworthy,Titus,Titus 1:10
Category 7,"In Titus, which of these did Paul identify by name as especially a problem?",The circumcision group,The agnostics,The Gentiles,The elders and bishops,Titus,Titus 1:10
Category 7,"What is one thing in the Book of Titus that Paul said unruly, vain talkers do?",Teach things they shouldn’t ,Make church exciting,Interrupt the services,Be disrespectful in church,Titus,Titus 1:11
Category 7,"What is one thing in the Book of Titus that Paul said unruly, vain talkers do?",Subvert whole households,Dress inappropriately,Assume positions of power,Argue with the elders,Titus,Titus 1:11
Category 7,"What does Paul say should be done to unruly, vain talkers?",They should be silenced,They should be arrested,They should be exorcised,They should be banished,Titus,Titus 1:11
